Created,GPS,DC Latitude,Model,POST ID
2021:01:06 21:17:21,"38 deg 53' 24.72"" N, 77 deg 0' 35.28"" W",TRUE,iPhone 11 Pro,0261f0TEn46K
2021:01:06 17:05:00,"38 deg 53' 30.48"" N, 77 deg 2' 10.68"" W",TRUE,iPhone 8,04aPSGXs9uu1
2021:01:06 22:05:08,"38 deg 53' 25.08"" N, 77 deg 0' 52.20"" W",TRUE,iPhone XS Max,04V2lSxDsi5n
2021:01:06 21:02:31,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",TRUE,null,059AWtA9q7PG
2021:01:06 20:50:52,"38 deg 53' 24.36"" N, 77 deg 0' 37.80"" W",TRUE,iPhone X,05wJWPlwYEm2
2021:01:06 19:39:20,"38 deg 53' 26.16"" N, 77 deg 0' 44.64"" W",TRUE,iPhone 8,09yZs12lvcCA
2021:01:06 19:16:27,"38 deg 53' 24.72"" N, 77 deg 0' 35.28"" W",TRUE,iPhone 11 Pro Max,0d6xvM4dAiW4
2021:01:06 19:40:56,"38 deg 53' 25.44"" N, 77 deg 0' 40.32"" W",TRUE,null,0DCuGD9WARVH
2021:01:06 21:49:22,"38 deg 53' 24.00"" N, 77 deg 0' 37.44"" W",TRUE,iPhone XS Max,0gEXueOMmwi8
2021:01:06 18:34:01,"38 deg 53' 30.48"" N, 77 deg 2' 2.76"" W",TRUE,iPhone 11 Pro Max,0gsiVBqJRXUf
2021:01:06 20:13:25,"38 deg 53' 23.28"" N, 77 deg 0' 36.36"" W",TRUE,iPhone XR,0ILtbKNKST48
2021:01:06 18:35:42,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",TRUE,iPhone 12 Pro Max,0jaHRfXYTxdk
2021:01:06 15:02:13,"38 deg 53' 31.92"" N, 77 deg 2' 14.64"" W",TRUE,iPhone XS,0LmCg5GItOn5
2021:01:06 20:49:20,"38 deg 53' 23.64"" N, 77 deg 0' 36.00"" W",TRUE,iPhone XR,0lmypbT9naSL
2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",TRUE,iPhone 7 Plus,0m53Jfe0nCjK
2021:01:06 15:24:03,"38 deg 53' 31.56"" N, 77 deg 2' 7.80"" W",TRUE,null,0naBwO7WKLdv
2021:01:06 21:01:23,"38 deg 53' 9.24"" N, 77 deg 0' 27.36"" W",TRUE,iPhone XR,0P57ekyl4BgA
2021:01:06 18:14:56,"38 deg 53' 37.32"" N, 77 deg 2' 9.24"" W",TRUE,iPhone X,0PewiHC6MJ7W
2021:01:06 16:18:12,"38 deg 53' 31.92"" N, 77 deg 2' 11.40"" W",TRUE,iPhone 12 Pro,0pHHD2IPnGI5
2021:01:06 18:57:37,"38 deg 53' 27.60"" N, 77 deg 0' 45.36"" W",TRUE,iPhone 11,0pHzY3h13IO9
2021:01:06 17:29:06,"38 deg 53' 28.32"" N, 77 deg 2' 2.76"" W",TRUE,iPhone 7 Plus,0Pk8BEfptuZG
2021:01:06 19:04:48,"38 deg 53' 26.52"" N, 77 deg 0' 29.88"" W",TRUE,iPhone XR,0RkqluQmLWCt
2021:01:06 14:47:40,"38 deg 53' 32.28"" N, 77 deg 2' 1.32"" W",TRUE,iPhone 8 Plus,0RXNjbNjJq1A
2021:01:06 20:53:38,"38 deg 53' 24.36"" N, 77 deg 0' 37.80"" W",TRUE,iPhone 11 Pro,0VjRwooevgzN
2021:01:06 16:59:07,"38 deg 53' 28.32"" N, 77 deg 2' 11.04"" W",TRUE,iPhone 11,11yUZY1GBsbG
2021:01:06 21:21:23,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",TRUE,iPhone 12 Pro Max,14bBcpxpQBmB
2021:01:06 18:45:57,"38 deg 53' 51.72"" N, 77 deg 2' 0.24"" W",TRUE,null,17mewAmmdqm8
2021:01:06 19:35:36,"38 deg 53' 24.72"" N, 77 deg 0' 27.36"" W",TRUE,iPhone 12,1B7KFzHPr5ST
2021:01:06 15:28:05,"38 deg 53' 30.84"" N, 77 deg 1' 59.88"" W",TRUE,iPhone X,1hITmFMmXf5t
2021:01:06 23:15:26,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",TRUE,iPhone 11 Pro Max,1Imn9XMEtSnj
2021:01:06 18:36:03,"38 deg 53' 31.92"" N, 77 deg 1' 48.36"" W",TRUE,iPhone 7 Plus,1LsLQccp9kli
2021:01:06 17:23:04,"38 deg 53' 30.84"" N, 77 deg 2' 2.04"" W",TRUE,null,1PkvSH3DHPQm
2021:01:06 22:04:21,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",TRUE,iPhone 8 Plus,1Ta9ZdFfiNrZ
2021:01:06 18:25:38,"38 deg 53' 24.36"" N, 77 deg 0' 37.08"" W",TRUE,iPhone XR,1TszpHzh2B7A
2021:01:06 22:05:04,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",TRUE,iPhone XS Max,1Zvr7Xtfv0Yt
2021:01:06 19:31:20,"38 deg 53' 21.84"" N, 77 deg 0' 42.48"" W",TRUE,iPhone XS,24fJYQldjZd2
2021:01:06 18:11:59,"38 deg 53' 30.48"" N, 77 deg 2' 7.80"" W",TRUE,iPhone 11 Pro,27RdbSgSj64v
2021:01:06 20:53:03,"38 deg 53' 24.36"" N, 77 deg 0' 29.52"" W",TRUE,iPhone X,29cZegQUocJb
2021:01:06 00:41:50,"38 deg 53' 45.60"" N, 77 deg 1' 51.60"" W",TRUE,iPhone X,2bA317by5x7J
2021:01:06 18:54:20,"38 deg 53' 25.80"" N, 77 deg 0' 37.80"" W",TRUE,null,2bujYLrW7vAX
2021:01:06 20:22:17,"38 deg 53' 24.72"" N, 77 deg 0' 34.20"" W",TRUE,iPhone 11,2DzUC8Jvgx4g
2021:01:06 12:51:45,"38 deg 53' 31.56"" N, 77 deg 2' 12.48"" W",TRUE,iPhone 11,2fqpw5l9SeIl
2021:01:06 20:42:56,"38 deg 53' 31.20"" N, 77 deg 0' 58.32"" W",TRUE,iPhone 8 Plus,2hmWsS7hbKrk
2021:01:06 14:23:15,"38 deg 53' 26.16"" N, 77 deg 2' 9.96"" W",TRUE,null,2lza0tzb6ICe
2021:01:06 21:30:10,"38 deg 53' 28.68"" N, 77 deg 0' 35.28"" W",TRUE,iPhone XS Max,2MGQVZjSLNJv
2021:01:06 07:11:15,"38 deg 53' 22.52"" N, 77 deg 2' 3.08"" W",TRUE,null,2oSHSLNMqoOE
2021:01:06 19:59:41,"38 deg 53' 24.00"" N, 77 deg 0' 34.92"" W",TRUE,iPhone 7,2PBoIh9W74cM
2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",TRUE,iPhone XS,2PNO2eGV8Hwp
2021:01:06 18:40:03,"38 deg 53' 21.48"" N, 77 deg 1' 19.56"" W",TRUE,iPhone XR,2pXy1CcaE27O
2021:01:06 15:29:19,"38 deg 53' 30.84"" N, 77 deg 2' 13.20"" W",TRUE,null,2R64wIqkr5mS
2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",TRUE,iPhone 7 Plus,2SYR2Wjra3ic
2021:01:06 18:46:11,"38 deg 53' 51.00"" N, 77 deg 2' 0.24"" W",TRUE,null,2tVrTWzXKhhJ
2021:01:06 15:20:05,"38 deg 53' 28.68"" N, 77 deg 2' 14.64"" W",TRUE,iPhone XS Max,2U6tbzcZD7NQ
2021:01:06 19:06:26,"38 deg 53' 24.00"" N, 77 deg 0' 28.44"" W",TRUE,iPhone SE (2nd generation),2XUH3sL1gOJ6
2021:01:06 20:13:02,"38 deg 53' 27.60"" N, 77 deg 0' 33.48"" W",TRUE,iPhone 12,2XwJn0Iqphrc
2021:01:06 19:41:47,"38 deg 53' 21.84"" N, 77 deg 0' 41.76"" W",TRUE,iPhone XS,2ydAnxMmbVs2
2021:01:06 22:43:12,"38 deg 53' 29.76"" N, 77 deg 2' 0.24"" W",TRUE,iPhone 8,2Yk3nUusMZ5M
2021:01:06 14:46:48,"38 deg 53' 28.68"" N, 77 deg 2' 11.04"" W",TRUE,iPhone 11 Pro Max,33nIRE4z014q
2021:01:06 20:35:40,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 7 Plus,35iIAVuIAijR
2021:01:06 14:28:08,"38 deg 53' 30.84"" N, 77 deg 2' 11.04"" W",TRUE,null,36dzqKvu5ebk
2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",TRUE,iPhone XS,3cAKUWJfxeJH
2021:01:06 19:13:29,"38 deg 53' 24.72"" N, 77 deg 0' 43.20"" W",TRUE,iPhone XR,3GuxpBJHLuKf
2021:01:06 21:51:06,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",TRUE,iPhone XS Max,3PkLpHaNWWeH
2021:01:06 20:48:11,"38 deg 53' 22.56"" N, 77 deg 0' 36.36"" W",TRUE,null,3ViaXA7t2cYc
2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",TRUE,iPhone 12 Pro Max,3xX9V5SrmugB
2021:01:06 16:59:32,"38 deg 53' 31.56"" N, 77 deg 2' 9.96"" W",TRUE,iPhone 11 Pro Max,3Y0yDk1J2QZG
2021:01:06 15:37:19,"38 deg 53' 28.32"" N, 77 deg 2' 14.28"" W",TRUE,iPhone XS Max,3ziKghBbE6P6
2021:01:06 19:51:30,"38 deg 53' 23.64"" N, 77 deg 0' 36.00"" W",TRUE,iPhone 6s,3ZXOHhUdKlYd
2021:01:06 15:19:43,"38 deg 53' 31.92"" N, 77 deg 2' 10.32"" W",TRUE,iPhone 6s Plus,401g3sjvH1UI
2021:01:06 17:08:00,"38 deg 53' 25.08"" N, 77 deg 2' 7.08"" W",TRUE,iPhone 8,40mZ6CU28v4l
