,Created,GPS,Location,Model,POST ID,latitude,longitude
0,2021:01:06 21:17:21,"38 deg 53' 24.72"" N, 77 deg 0' 35.28"" W",True,iPhone 11 Pro,0261f0TEn46K,38.8902,-77.0098
1,2021:01:06 17:05:00,"38 deg 53' 30.48"" N, 77 deg 2' 10.68"" W",True,iPhone 8,04aPSGXs9uu1,38.891799999999996,-77.0363
2,2021:01:06 22:05:08,"38 deg 53' 25.08"" N, 77 deg 0' 52.20"" W",True,iPhone XS Max,04V2lSxDsi5n,38.890299999999996,-77.0145
3,2021:01:06 21:02:31,"38 deg 53' 24.00"" N, 77 deg 0' 37.08"" W",True,,059AWtA9q7PG,38.89,-77.0103
4,2021:01:06 20:50:52,"38 deg 53' 24.36"" N, 77 deg 0' 37.80"" W",True,iPhone X,05wJWPlwYEm2,38.8901,-77.0105
5,2021:01:06 19:39:20,"38 deg 53' 26.16"" N, 77 deg 0' 44.64"" W",True,iPhone 8,09yZs12lvcCA,38.8906,-77.0124
6,2021:01:06 19:16:27,"38 deg 53' 24.72"" N, 77 deg 0' 35.28"" W",True,iPhone 11 Pro Max,0d6xvM4dAiW4,38.8902,-77.0098
7,2021:01:06 19:40:56,"38 deg 53' 25.44"" N, 77 deg 0' 40.32"" W",True,,0DCuGD9WARVH,38.8904,-77.0112
8,2021:01:06 21:49:22,"38 deg 53' 24.00"" N, 77 deg 0' 37.44"" W",True,iPhone XS Max,0gEXueOMmwi8,38.89,-77.0104
9,2021:01:06 18:34:01,"38 deg 53' 30.48"" N, 77 deg 2' 2.76"" W",True,iPhone 11 Pro Max,0gsiVBqJRXUf,38.891799999999996,-77.0341
10,2021:01:06 20:13:25,"38 deg 53' 23.28"" N, 77 deg 0' 36.36"" W",True,iPhone XR,0ILtbKNKST48,38.8898,-77.0101
11,2021:01:06 18:35:42,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",True,iPhone 12 Pro Max,0jaHRfXYTxdk,38.8899,-77.0106
12,2021:01:06 15:02:13,"38 deg 53' 31.92"" N, 77 deg 2' 14.64"" W",True,iPhone XS,0LmCg5GItOn5,38.8922,-77.0374
13,2021:01:06 20:49:20,"38 deg 53' 23.64"" N, 77 deg 0' 36.00"" W",True,iPhone XR,0lmypbT9naSL,38.8899,-77.01
14,2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",True,iPhone 7 Plus,0m53Jfe0nCjK,38.89,-77.0116
15,2021:01:06 15:24:03,"38 deg 53' 31.56"" N, 77 deg 2' 7.80"" W",True,,0naBwO7WKLdv,38.8921,-77.0355
16,2021:01:06 21:01:23,"38 deg 53' 9.24"" N, 77 deg 0' 27.36"" W",True,iPhone XR,0P57ekyl4BgA,38.8859,-77.0076
17,2021:01:06 18:14:56,"38 deg 53' 37.32"" N, 77 deg 2' 9.24"" W",True,iPhone X,0PewiHC6MJ7W,38.8937,-77.0359
18,2021:01:06 16:18:12,"38 deg 53' 31.92"" N, 77 deg 2' 11.40"" W",True,iPhone 12 Pro,0pHHD2IPnGI5,38.8922,-77.0365
19,2021:01:06 18:57:37,"38 deg 53' 27.60"" N, 77 deg 0' 45.36"" W",True,iPhone 11,0pHzY3h13IO9,38.891,-77.0126
20,2021:01:06 17:29:06,"38 deg 53' 28.32"" N, 77 deg 2' 2.76"" W",True,iPhone 7 Plus,0Pk8BEfptuZG,38.8912,-77.0341
21,2021:01:06 19:04:48,"38 deg 53' 26.52"" N, 77 deg 0' 29.88"" W",True,iPhone XR,0RkqluQmLWCt,38.8907,-77.0083
22,2021:01:06 14:47:40,"38 deg 53' 32.28"" N, 77 deg 2' 1.32"" W",True,iPhone 8 Plus,0RXNjbNjJq1A,38.8923,-77.0337
23,2021:01:06 20:53:38,"38 deg 53' 24.36"" N, 77 deg 0' 37.80"" W",True,iPhone 11 Pro,0VjRwooevgzN,38.8901,-77.0105
24,2021:01:06 16:59:07,"38 deg 53' 28.32"" N, 77 deg 2' 11.04"" W",True,iPhone 11,11yUZY1GBsbG,38.8912,-77.0364
25,2021:01:06 21:21:23,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",True,iPhone 12 Pro Max,14bBcpxpQBmB,38.8899,-77.0106
26,2021:01:06 18:45:57,"38 deg 53' 51.72"" N, 77 deg 2' 0.24"" W",True,,17mewAmmdqm8,38.8977,-77.0334
27,2021:01:06 19:35:36,"38 deg 53' 24.72"" N, 77 deg 0' 27.36"" W",True,iPhone 12,1B7KFzHPr5ST,38.8902,-77.0076
28,2021:01:06 15:28:05,"38 deg 53' 30.84"" N, 77 deg 1' 59.88"" W",True,iPhone X,1hITmFMmXf5t,38.8919,-77.0333
29,2021:01:06 23:15:26,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",True,iPhone 11 Pro Max,1Imn9XMEtSnj,38.8898,-77.0103
30,2021:01:06 18:36:03,"38 deg 53' 31.92"" N, 77 deg 1' 48.36"" W",True,iPhone 7 Plus,1LsLQccp9kli,38.8922,-77.0301
31,2021:01:06 17:23:04,"38 deg 53' 30.84"" N, 77 deg 2' 2.04"" W",True,,1PkvSH3DHPQm,38.8919,-77.0339
32,2021:01:06 22:04:21,"38 deg 53' 23.64"" N, 77 deg 0' 38.16"" W",True,iPhone 8 Plus,1Ta9ZdFfiNrZ,38.8899,-77.0106
33,2021:01:06 18:25:38,"38 deg 53' 24.36"" N, 77 deg 0' 37.08"" W",True,iPhone XR,1TszpHzh2B7A,38.8901,-77.0103
34,2021:01:06 22:05:04,"38 deg 53' 23.28"" N, 77 deg 0' 37.08"" W",True,iPhone XS Max,1Zvr7Xtfv0Yt,38.8898,-77.0103
35,2021:01:06 19:31:20,"38 deg 53' 21.84"" N, 77 deg 0' 42.48"" W",True,iPhone XS,24fJYQldjZd2,38.8894,-77.0118
36,2021:01:06 18:11:59,"38 deg 53' 30.48"" N, 77 deg 2' 7.80"" W",True,iPhone 11 Pro,27RdbSgSj64v,38.891799999999996,-77.0355
37,2021:01:06 20:53:03,"38 deg 53' 24.36"" N, 77 deg 0' 29.52"" W",True,iPhone X,29cZegQUocJb,38.8901,-77.0082
38,2021:01:06 00:41:50,"38 deg 53' 45.60"" N, 77 deg 1' 51.60"" W",True,iPhone X,2bA317by5x7J,38.896,-77.031
39,2021:01:06 18:54:20,"38 deg 53' 25.80"" N, 77 deg 0' 37.80"" W",True,,2bujYLrW7vAX,38.8905,-77.0105
40,2021:01:06 20:22:17,"38 deg 53' 24.72"" N, 77 deg 0' 34.20"" W",True,iPhone 11,2DzUC8Jvgx4g,38.8902,-77.0095
41,2021:01:06 12:51:45,"38 deg 53' 31.56"" N, 77 deg 2' 12.48"" W",True,iPhone 11,2fqpw5l9SeIl,38.8921,-77.0368
42,2021:01:06 20:42:56,"38 deg 53' 31.20"" N, 77 deg 0' 58.32"" W",True,iPhone 8 Plus,2hmWsS7hbKrk,38.892,-77.0162
43,2021:01:06 14:23:15,"38 deg 53' 26.16"" N, 77 deg 2' 9.96"" W",True,,2lza0tzb6ICe,38.8906,-77.0361
44,2021:01:06 21:30:10,"38 deg 53' 28.68"" N, 77 deg 0' 35.28"" W",True,iPhone XS Max,2MGQVZjSLNJv,38.8913,-77.0098
45,2021:01:06 07:11:15,"38 deg 53' 22.52"" N, 77 deg 2' 3.08"" W",True,,2oSHSLNMqoOE,38.88958888888889,-77.03418888888889
46,2021:01:06 19:59:41,"38 deg 53' 24.00"" N, 77 deg 0' 34.92"" W",True,iPhone 7,2PBoIh9W74cM,38.89,-77.0097
47,2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",True,iPhone XS,2PNO2eGV8Hwp,38.8966,-77.0335
48,2021:01:06 18:40:03,"38 deg 53' 21.48"" N, 77 deg 1' 19.56"" W",True,iPhone XR,2pXy1CcaE27O,38.8893,-77.0221
49,2021:01:06 15:29:19,"38 deg 53' 30.84"" N, 77 deg 2' 13.20"" W",True,,2R64wIqkr5mS,38.8919,-77.03699999999999
50,2021:01:06 18:21:48,"38 deg 53' 24.00"" N, 77 deg 0' 41.76"" W",True,iPhone 7 Plus,2SYR2Wjra3ic,38.89,-77.0116
51,2021:01:06 18:46:11,"38 deg 53' 51.00"" N, 77 deg 2' 0.24"" W",True,,2tVrTWzXKhhJ,38.8975,-77.0334
52,2021:01:06 15:20:05,"38 deg 53' 28.68"" N, 77 deg 2' 14.64"" W",True,iPhone XS Max,2U6tbzcZD7NQ,38.8913,-77.0374
53,2021:01:06 19:06:26,"38 deg 53' 24.00"" N, 77 deg 0' 28.44"" W",True,iPhone SE (2nd generation),2XUH3sL1gOJ6,38.89,-77.0079
54,2021:01:06 20:13:02,"38 deg 53' 27.60"" N, 77 deg 0' 33.48"" W",True,iPhone 12,2XwJn0Iqphrc,38.891,-77.0093
55,2021:01:06 19:41:47,"38 deg 53' 21.84"" N, 77 deg 0' 41.76"" W",True,iPhone XS,2ydAnxMmbVs2,38.8894,-77.0116
56,2021:01:06 22:43:12,"38 deg 53' 29.76"" N, 77 deg 2' 0.24"" W",True,iPhone 8,2Yk3nUusMZ5M,38.8916,-77.0334
57,2021:01:06 14:46:48,"38 deg 53' 28.68"" N, 77 deg 2' 11.04"" W",True,iPhone 11 Pro Max,33nIRE4z014q,38.8913,-77.0364
58,2021:01:06 20:35:40,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",True,iPhone 7 Plus,35iIAVuIAijR,38.8899,-77.0104
59,2021:01:06 14:28:08,"38 deg 53' 30.84"" N, 77 deg 2' 11.04"" W",True,,36dzqKvu5ebk,38.8919,-77.0364
60,2021:01:06 12:55:26,"38 deg 53' 47.76"" N, 77 deg 2' 0.60"" W",True,iPhone XS,3cAKUWJfxeJH,38.8966,-77.0335
61,2021:01:06 19:13:29,"38 deg 53' 24.72"" N, 77 deg 0' 43.20"" W",True,iPhone XR,3GuxpBJHLuKf,38.8902,-77.012
62,2021:01:06 21:51:06,"38 deg 53' 23.64"" N, 77 deg 0' 37.44"" W",True,iPhone XS Max,3PkLpHaNWWeH,38.8899,-77.0104
63,2021:01:06 20:48:11,"38 deg 53' 22.56"" N, 77 deg 0' 36.36"" W",True,,3ViaXA7t2cYc,38.8896,-77.0101
64,2021:01:06 18:55:26,"38 deg 53' 24.72"" N, 77 deg 0' 37.44"" W",True,iPhone 12 Pro Max,3xX9V5SrmugB,38.8902,-77.0104
65,2021:01:06 16:59:32,"38 deg 53' 31.56"" N, 77 deg 2' 9.96"" W",True,iPhone 11 Pro Max,3Y0yDk1J2QZG,38.8921,-77.0361
66,2021:01:06 15:37:19,"38 deg 53' 28.32"" N, 77 deg 2' 14.28"" W",True,iPhone XS Max,3ziKghBbE6P6,38.8912,-77.0373
67,2021:01:06 19:51:30,"38 deg 53' 23.64"" N, 77 deg 0' 36.00"" W",True,iPhone 6s,3ZXOHhUdKlYd,38.8899,-77.01
68,2021:01:06 15:19:43,"38 deg 53' 31.92"" N, 77 deg 2' 10.32"" W",True,iPhone 6s Plus,401g3sjvH1UI,38.8922,-77.0362
69,2021:01:06 17:08:00,"38 deg 53' 25.08"" N, 77 deg 2' 7.08"" W",True,iPhone 8,40mZ6CU28v4l,38.890299999999996,-77.03529999999999
70,2021:01:06 16:22:16,"38 deg 53' 29.40"" N, 77 deg 2' 10.32"" W",True,iPhone XS,423yzZ0D9J0P,38.8915,-77.0362
71,2021:01:06 18:33:12,"38 deg 53' 28.32"" N, 77 deg 0' 47.52"" W",True,iPhone XR,49N6wcN2AIni,38.8912,-77.0132
